name,imgUri,price,description
GTI,http://dummyimage.com/220x100.png/cc0000/ffffff,1067226,"Oth fracture of right femur, init encntr for closed fracture"
Continental,http://dummyimage.com/246x100.png/ff4444/ffffff,2069959,"Sprain of ligaments of thoracic spine, initial encounter"
Viper RT/10,http://dummyimage.com/135x100.png/dddddd/000000,2005241,Laceration of flexor musc/fasc/tend r rng fngr at wrs/hnd lv
LaCrosse,http://dummyimage.com/153x100.png/dddddd/000000,1441244,"Sezary disease, intra-abdominal lymph nodes"
600,http://dummyimage.com/231x100.png/5fa2dd/ffffff,1058318,"Displ oblique fx shaft of unsp fibula, 7thQ"
Outback,http://dummyimage.com/167x100.png/dddddd/000000,1250943,Hallucinogen abuse with unsp hallucinogen-induced disorder
Corvette,http://dummyimage.com/204x100.png/cc0000/ffffff,1961309,"Laceration with foreign body, left thigh, sequela"
A4,http://dummyimage.com/197x100.png/5fa2dd/ffffff,1486202,"Other specified injuries of right lower leg, sequela"
Ram Van 1500,http://dummyimage.com/234x100.png/5fa2dd/ffffff,1945504,"Unsp injury of axillary artery, unsp side, subs encntr"
Express 2500,http://dummyimage.com/219x100.png/cc0000/ffffff,1869481,Symptoms and signs involving appearance and behavior
Xterra,http://dummyimage.com/119x100.png/dddddd/000000,1867404,"Gastric contents in esophagus causing oth injury, subs"
Stylus,http://dummyimage.com/111x100.png/5fa2dd/ffffff,2558324,"Pathological fracture in other disease, other site, sequela"
Accord,http://dummyimage.com/105x100.png/ff4444/ffffff,2043574,"Crushed chest, subsequent encounter"
TL,http://dummyimage.com/217x100.png/dddddd/000000,1915567,"Oth extrartic fracture of lower end of unsp radius, init"
Discovery,http://dummyimage.com/120x100.png/5fa2dd/ffffff,2490260,"Displ suprcndl fx w/o intrcndl extn low end l femr, 7thM"
Cherokee,http://dummyimage.com/116x100.png/cc0000/ffffff,2248037,"Oth physl fx upper end of unsp femur, subs for fx w malunion"
928,http://dummyimage.com/116x100.png/cc0000/ffffff,1497454,"Adherent leukoma, unspecified eye"
V50,http://dummyimage.com/237x100.png/5fa2dd/ffffff,2554256,"Pnctr w foreign body of left cheek and TMJ area, sequela"
Tempo,http://dummyimage.com/210x100.png/5fa2dd/ffffff,2298949,"Corrosion of third degree of unspecified ear, sequela"
Tahoe,http://dummyimage.com/174x100.png/5fa2dd/ffffff,1312125,Unspecified fracture of facial bones
Quest,http://dummyimage.com/192x100.png/dddddd/000000,2810437,"Acute Eustachian salpingitis, unspecified ear"
SC,http://dummyimage.com/125x100.png/ff4444/ffffff,2505134,"Juvenile rheumatoid arthritis with systemic onset, vertebrae"
Continental,http://dummyimage.com/158x100.png/cc0000/ffffff,1218214,"Driver of hv veh injured in clsn w hv veh nontraf, sequela"
Leaf,http://dummyimage.com/148x100.png/cc0000/ffffff,1155769,"Disp fx of ant pro of unsp calcaneus, subs for fx w nonunion"
Impala,http://dummyimage.com/223x100.png/dddddd/000000,1593647,"Neoplasm of uncertain behavior of trachea, bronchus and lung"
928,http://dummyimage.com/226x100.png/ff4444/ffffff,1580530,"Lac w fb of unsp front wall of thorax w penet thor cav, subs"
3500,http://dummyimage.com/205x100.png/5fa2dd/ffffff,1009974,"Neurofibromatosis, type 1"
Thunderbird,http://dummyimage.com/200x100.png/dddddd/000000,2552275,"Subluxation of C6/C7 cervical vertebrae, sequela"
Crossfire,http://dummyimage.com/242x100.png/cc0000/ffffff,2738789,"Unsp inj unsp musc/fasc/tend at forarm lv, unsp arm, subs"
Trans Sport,http://dummyimage.com/133x100.png/dddddd/000000,1959697,"Nondisp simple suprcndl fx w/o intrcndl fx unsp humer, init"
LTD Crown Victoria,http://dummyimage.com/248x100.png/ff4444/ffffff,2667332,"Chronic leukemia of unspecified cell type, in remission"
LX,http://dummyimage.com/134x100.png/ff4444/ffffff,1732104,"Adverse effect of unsp systemic antibiotic, init encntr"
Cayenne,http://dummyimage.com/163x100.png/cc0000/ffffff,1279029,"Oth meniscus derang, posterior horn of lat mensc, unsp knee"
Yukon XL 1500,http://dummyimage.com/157x100.png/ff4444/ffffff,2112855,"Acute perichondritis of external ear, bilateral"
Econoline E250,http://dummyimage.com/242x100.png/ff4444/ffffff,1530303,Adverse effect of antiepileptic and sedative-hypnotic drugs
Explorer,http://dummyimage.com/167x100.png/cc0000/ffffff,1345681,"Dislocation of MCP joint of left index finger, init"
Quattro,http://dummyimage.com/144x100.png/cc0000/ffffff,1867622,Crushing injury of unspecified external genital organs
Sundance,http://dummyimage.com/113x100.png/ff4444/ffffff,2931961,Other abnormal uterine and vaginal bleeding
